para-ver;1;Um sonho de liberdade;Drama
para-ver;2;Intocaveis;Drama
para-ver;3;Sempre ao seu Lado;Drama
para-ver;4;Django Livre;Faroeste
para-ver;5;Tres Homens em Conflito;Faroeste
vistos;6;A Lista de Schindler;Guerra/Historico
vistos;7;O Poderoso Chefao;Drama/Policial
vistos;8;O Rei Leao;Animacao/Musical
vistos;9;O Senhor dos Aneis;Fantasia/Aventura
vistos;10;A Espera de um Milagre;Drama
vistos;11;Forrest Gump - O Contador de Historias;Drama/Romance
vistos;12;A Vida e Bela;Drama
vistos;13;Vingadores Ultimato;Acao/Aventura
vistos;14;Vingadores Guerra Infinita;Acao/Aventura
para-ver;15;Milagre na Cela 7;Drama
vistos;16;O Poderoso Chefao 2;Drama/Policial
vistos;17;Batman - O Cavaleiro das Trevas;Acao
vistos;18;De Volta Para o Futuro;Ficcao Cientifica/Aventura
vistos;19;Viva - A Vida e uma Festa ;Animacao/Fantasia
vistos;20;Historias Cruzadas;Drama
vistos;21;O Resgate do Soldado Ryan;Guerra/Drama
vistos;22;Gladiador;Epico/Aventura
para-ver;23;Divertida Mente;Animacao
para-ver;24;O Silencio dos Inocentes;Suspense/Drama
